x,y
145,186
145,249
145,251
146,31
146,34
146,53
146,55
146,84
146,86
146,107
146,108
146,109
146,110
146,111
146,151
146,154
146,184
146,186
146,249
146,251
147,30
147,31
147,33
147,52
147,54
147,84
147,86
147,152
147,154
147,184
147,186
147,249
147,251
148,30
148,32
148,33
148,51
148,54
148,84
148,86
148,152
148,154
148,184
148,186
148,249
148,251
149,29
149,32
149,50
149,51
149,53
149,84
149,86
149,151
149,154
149,184
149,186
149,249
149,251
150,28
150,31
150,50
150,52
150,84
150,86
150,148
150,149
150,150
150,153
150,183
150,185
150,249
150,251
151,27
151,30
151,31
151,50
151,53
151,84
151,86
151,146
151,147
151,148
151,151
151,152
151,183
151,185
151,249
151,251
152,26
152,29
152,30
152,50
152,51
152,53
152,54
152,84
152,86
152,145
152,146
152,149
152,150
152,151
152,183
152,185
152,249
152,251
153,25
153,28
153,29
153,51
153,54
153,55
153,84
153,86
153,144
153,147
153,148
153,182
153,185
153,249
153,251
154,23
154,24
154,27
154,28
154,52
154,55
154,56
154,84
154,86
154,143
154,144
154,146
154,147
154,182
154,185
154,249
154,251
155,11
155,12
155,13
155,22
155,25
155,26
155,53
155,56
155,57
155,84
155,86
155,143
155,182
155,185
155,249
155,251
156,11
156,14
156,15
156,16
156,17
156,18
156,19
156,20
156,21
156,54
156,57
156,84
156,87
156,142
156,143
156,145
156,183
156,185
156,249
156,251
157,11
157,12
157,13
157,25
157,26
157,54
157,55
157,58
157,84
157,87
157,142
157,144
157,183
157,185
157,249
157,251
158,14
158,15
158,16
158,17
158,18
158,19
158,20
158,21
158,27
158,28
158,29
158,30
158,55
158,56
158,58
158,85
158,87
158,142
158,144
158,182
158,183
158,185
158,249
158,251
159,22
159,23
159,24
159,25
159,26
159,31
159,32
159,56
159,59
159,85
159,87
159,144
159,181
159,184
159,185
159,249
159,251
160,27
160,32
160,57
160,59
160,85
160,87
160,142
160,145
160,180
160,183
160,184
160,249
160,251
161,31
161,32
161,57
161,59
161,85
161,87
161,141
161,144
161,179
161,182
161,183
161,249
161,251
162,27
162,30
162,57
162,60
162,85
162,87
162,141
162,143
162,144
162,178
162,181
162,249
162,251
163,25
163,26
163,29
163,58
163,60
163,85
163,88
163,140
163,142
163,177
163,180
163,249
163,251
164,24
164,25
164,28
164,58
164,60
164,85
164,88
164,143
164,176
164,179
164,249
164,251
165,23
165,27
165,58
165,61
165,86
165,88
165,141
165,143
165,144
165,175
165,178
165,249
165,251
166,22
166,25
166,26
166,59
166,61
166,86
166,88
166,141
166,142
166,144
166,175
166,177
166,249
166,251
167,21
167,24
167,59
167,62
167,86
167,87
167,89
167,142
167,144
167,174
167,177
167,249
167,251
168,21
168,23
168,59
168,60
168,62
168,63
168,87
168,89
168,142
168,174
168,176
168,249
168,251
169,21
169,23
169,60
169,63
169,64
169,87
169,89
169,90
169,143
169,145
169,173
169,249
169,251
170,21
170,23
170,61
170,64
170,65
170,87
170,88
170,90
170,143
170,145
170,173
170,175
170,249
170,251
171,21
171,23
171,62
171,65
171,88
171,90
171,91
171,143
171,145
171,172
171,174
171,175
171,249
171,251
172,22
172,24
172,63
172,66
172,89
172,91
172,92
172,141
172,142
172,145
172,172
172,174
172,249
172,251
173,22
173,24
173,63
173,64
173,67
173,89
173,93
173,140
173,144
173,171
173,174
173,249
173,251
174,22
174,24
174,64
174,65
174,67
174,90
174,91
174,94
174,95
174,96
174,139
174,142
174,143
174,171
174,173
174,249
174,251
175,22
175,24
175,65
175,68
175,91
175,92
175,97
175,137
175,138
175,141
175,142
175,171
175,173
175,249
175,251
176,22
176,25
176,66
176,68
176,94
176,95
176,98
176,136
176,140
176,171
176,173
176,249
176,251
177,23
177,25
177,66
177,69
177,95
177,96
177,99
177,135
177,138
177,139
177,171
177,173
177,249
177,251
178,23
178,25
178,66
178,69
178,96
178,97
178,100
178,133
178,134
178,137
178,138
178,171
178,173
178,249
178,251
179,23
179,25
179,67
179,69
179,97
179,98
179,101
179,132
179,133
179,136
179,171
179,173
179,249
179,251
180,23
180,25
180,67
180,69
180,98
180,99
180,102
180,103
180,104
180,105
180,106
180,107
180,108
180,131
180,135
180,171
180,173
180,249
180,251
181,23
181,25
181,67
181,69
181,70
181,99
181,100
181,101
181,109
181,110
181,111
181,127
181,128
181,129
181,130
181,133
181,134
181,171
181,173
181,249
181,251
182,24
182,26
182,67
182,70
182,102
182,103
182,104
182,105
182,106
182,107
182,108
182,111
182,112
182,122
182,123
182,124
182,125
182,132
182,133
182,171
182,173
182,249
182,251
183,24
183,26
183,68
183,70
183,109
183,113
183,120
183,121
183,126
183,127
183,128
183,129
183,130
183,131
183,132
183,171
183,173
183,249
183,251
184,24
184,26
184,68
184,71
184,110
184,111
184,114
184,115
184,116
184,117
184,118
184,119
184,120
184,123
184,124
184,125
184,171
184,173
184,249
184,251
185,24
185,26
185,69
185,71
185,111
185,112
185,113
185,122
185,171
185,173
185,249
185,251
186,25
186,27
186,69
186,71
186,114
186,115
186,116
186,117
186,118
186,119
186,120
186,171
186,173
186,249
186,251
187,25
187,27
187,69
187,71
187,171
187,173
187,249
187,251
188,25
188,27
188,69
188,71
188,171
188,173
188,249
188,251
189,25
189,27
189,69
189,71
189,171
189,173
189,248
189,251
190,25
190,27
190,69
190,71
190,171
190,173
190,248
190,250
191,25
191,28
191,69
191,71
191,171
191,173
191,248
191,250
192,26
192,28
192,69
192,71
192,171
192,173
192,248
192,250
193,26
193,28
193,69
193,71
193,171
193,173
193,248
193,250
194,26
194,29
194,69
194,72
194,171
194,173
194,248
194,250
195,27
195,29
195,70
195,72
195,171
195,173
195,248
195,250
196,27
196,29
196,70
196,72
196,171
196,173
196,248
196,250
197,27
197,29
197,70
197,72
197,171
197,173
197,247
197,250
198,27
198,30
198,71
198,73
198,171
198,173
198,247
198,249
199,28
199,30
199,71
199,73
199,171
199,173
199,247
199,249
200,28
200,30
200,71
200,73
200,172
200,174
200,247
200,249
201,28
201,30
201,71
201,74
201,172
201,174
201,247
201,249
202,28
202,30
202,72
202,74
202,172
202,174
202,247
